Participant ID,Water Utility
P0001T,CITY OF AUSTIN WATER & WASTEWATER
P0002T,MANVILLE WSC
P0007T,CITY OF AUSTIN WATER & WASTEWATER
P0008T,AUSTINS COLONY
P0009T,CREEDMOOR MAHA WSC
P0012T,CITY OF KYLE
P0016T,GOFORTH SUD
P0017T,CITY OF AUSTIN WATER & WASTEWATER
P0018T,MANVILLE WSC
P0019T,CITY OF ROUND ROCK
P0020T,CITY OF AUSTIN WATER & WASTEWATER
P0021T,CITY OF AUSTIN WATER & WASTEWATER
P0022T,AUSTINS COLONY
P0023T,AUSTINS COLONY
P0024T,GOFORTH SUD
P0025T,AUSTINS COLONY
P0026T,CITY OF AUSTIN WATER & WASTEWATER
P0027T,CITY OF AUSTIN WATER & WASTEWATER
P0028T,AQUA WSC
P0029T,AUSTINS COLONY
P0031B,AQUA WSC
P0032T,CITY OF AUSTIN WATER & WASTEWATER
P0033T,AUSTINS COLONY
P0034T,CITY OF AUSTIN WATER & WASTEWATER
P0038T,CITY OF AUSTIN WATER & WASTEWATER
P0039T,PLUM CREEK
P0040T,CITY OF AUSTIN WATER & WASTEWATER
P0043T,CITY OF AUSTIN WATER & WASTEWATER
P0044T,CITY OF AUSTIN WATER & WASTEWATER
P0045T,CITY OF AUSTIN WATER & WASTEWATER
P0046T,CITY OF AUSTIN WATER & WASTEWATER
P0048T,CITY OF AUSTIN WATER & WASTEWATER
P0049B,AQUA WSC
P0050T,CITY OF AUSTIN WATER & WASTEWATER
P0051B,AQUA WSC
P0054T,CITY OF AUSTIN WATER & WASTEWATER
P0055T,COTTONWOOD CREEK MUD 1
P0056T,CITY OF AUSTIN WATER & WASTEWATER
P0058T,CITY OF AUSTIN WATER & WASTEWATER
P0059T,na
P0060T,CITY OF AUSTIN WATER & WASTEWATER
P0061B,AQUA WSC
P0063T,CITY OF AUSTIN WATER & WASTEWATER
P0064T,CITY OF AUSTIN WATER & WASTEWATER
P0066T,CITY OF AUSTIN WATER & WASTEWATER
P0067T,CITY OF AUSTIN WATER & WASTEWATER
P0069T,TRAVIS COUNTY MUD 2
P0070B,CREEDMOOR MAHA WSC
P0071T,AUSTINS COLONY
P0072T,DRIPPING SPRINGS WSC
P0073T,CITY OF MANOR
P0074T,CITY OF AUSTIN WATER & WASTEWATER
P0075T,CITY OF AUSTIN WATER & WASTEWATER
P0076T,MANVILLE WSC
P0078B,AQUA WSC
P0079T,CITY OF AUSTIN WATER & WASTEWATER
P0080T,CITY OF AUSTIN WATER & WASTEWATER
P0081T,AQUA WSC
P0082T,CITY OF AUSTIN WATER & WASTEWATER
P0083T,CITY OF AUSTIN WATER & WASTEWATER
P0086T,CITY OF AUSTIN WATER & WASTEWATER
P0087T,AQUA WSC
P0088T,CITY OF AUSTIN WATER & WASTEWATER
P0089T,CITY OF AUSTIN WATER & WASTEWATER
P0090T,CITY OF AUSTIN WATER & WASTEWATER
P0091T,COTTONWOOD CREEK MUD 1
P0092H,CREEDMOOR MAHA WSC
P0093T,CITY OF AUSTIN WATER & WASTEWATER
P0094T,AQUA WSC
P0095T,AUSTINS COLONY
P0096T,CITY OF AUSTIN WATER & WASTEWATER
P0097B,AQUA WSC
P0098T,CITY OF AUSTIN WATER & WASTEWATER
P0099T,CITY OF AUSTIN WATER & WASTEWATER
P0100T,na
P0101T,CITY OF AUSTIN WATER & WASTEWATER
P0102T,CITY OF AUSTIN WATER & WASTEWATER
P0103T,CITY OF AUSTIN WATER & WASTEWATER
P0104T,CITY OF AUSTIN WATER & WASTEWATER
P0105T,CITY OF AUSTIN WATER & WASTEWATER
P0106T,na
P0107T,CITY OF AUSTIN WATER & WASTEWATER
P0108T,CITY OF AUSTIN WATER & WASTEWATER
P0109T,CITY OF AUSTIN WATER & WASTEWATER
P0110T,CITY OF AUSTIN WATER & WASTEWATER
P0113T,CITY OF AUSTIN WATER & WASTEWATER
P0115T,CITY OF AUSTIN WATER & WASTEWATER
P0116T,CITY OF AUSTIN WATER & WASTEWATER
P0117T,na
P0118T,CITY OF AUSTIN WATER & WASTEWATER
P0119T,CITY OF AUSTIN WATER & WASTEWATER
P0120B,COUNTY LINE SUD
P0121T,CITY OF AUSTIN WATER & WASTEWATER
P0122T,CITY OF LEANDER
P0123T,CITY OF SMITHVILLE
P0124T,CITY OF AUSTIN WATER & WASTEWATER
P0125T,CITY OF AUSTIN WATER & WASTEWATER
P0126T,WILBARGER CREEK MUD 1
P0127T,CITY OF KILLEEN
P0128T,CITY OF AUSTIN WATER & WASTEWATER
P0130T,CITY OF AUSTIN WATER & WASTEWATER
P0131T,COUNTY LINE SUD
P0132T,CITY OF MANOR
P0133T,CITY OF AUSTIN WATER & WASTEWATER
P0134T,CITY OF AUSTIN WATER & WASTEWATER
P0135T,CITY OF HUTTO
P0136T,AUSTINS COLONY
P0137T,CITY OF AUSTIN WATER & WASTEWATER
P0139T,CITY OF AUSTIN WATER & WASTEWATER
P0141T,CITY OF AUSTIN WATER & WASTEWATER
P0142T,AQUA WSC
P0144T,CITY OF AUSTIN WATER & WASTEWATER
P0147T,CITY OF AUSTIN WATER & WASTEWATER
P0148T,na
P0149T,CITY OF AUSTIN WATER & WASTEWATER
P0150T,AQUA WSC
P0151T,na
P0152H,CITY OF KYLE
P0153T,na
P0154B,AQUA WSC
